name,description
Acrivastine,"Acrivastine is an antihistamine used for the relief of allergic symptoms, particularly in hay fever and urticaria."
Actarit,Actarit is an anti-inflammatory medication used primarily in the treatment of rheumatoid arthritis.
Acyclovir,"Acyclovir is an antiviral medication used to treat infections caused by certain types of viruses, including herpes simplex."
Adalimumab,Adalimumab is a monoclonal antibody used to treat autoimmune diseases by inhibiting tumor necrosis factor (TNF).
Adapalene,Adapalene is a topical retinoid used primarily for the treatment of acne vulgaris.
Adapting Electrolyte Solutions,"Adapting Electrolyte Solutions are formulations designed to restore electrolyte balance in patients, often used in cases of dehydration."
Adefovir,Adefovir is an antiviral medication used to treat chronic hepatitis B infection.
Ademetionine,Ademetionine is a compound involved in methylation processes and is used as a supplement for liver health and mood disorders.
Adenosine,Adenosine is a nucleoside that plays a role in energy transfer and is used in the treatment of certain types of supraventricular tachycardia.
Ado trastuzumab emtansine,A conjugated monoclonal antibody used in the treatment of HER2-positive breast cancer.
Adrenaline,"Also known as epinephrine, it is a hormone and neurotransmitter involved in the body's fight-or-flight response."
Adrenochrome Monosemicarbazone,"A derivative of adrenochrome, it is studied for its potential effects on the central nervous system."
Afatinib dimaleate,An irreversible inhibitor of the epidermal growth factor receptor (EGFR) used in the treatment of non-small cell lung cancer.
Aflapin,"A proprietary formulation of boswellia serrata extract, used for its anti-inflammatory properties."
Aflibercept,"Aflibercept is a recombinant fusion protein that acts as a vascular endothelial growth factor (VEGF) inhibitor, used primarily in the treatment of various eye diseases and cancers."
Agomelatine,"Agomelatine is an antidepressant that acts as a melatonergic agent, primarily used for the treatment of major depressive disorder."
Albendazole,Albendazole is an anthelmintic medication used to treat a variety of parasitic worm infestations.
Albumin,"Albumin is a protein found in blood plasma, used in various medical applications including volume expansion and as a carrier for drugs."
Alcaftadine,Alcaftadine is an antihistamine used in the treatment of allergic conjunctivitis.
Alcohol,"A volatile, flammable liquid that is commonly used as a solvent and in the production of alcoholic beverages."
Alendronic Acid,A bisphosphonate used to treat osteoporosis and other conditions that cause bone loss.
Alfacalcidol,A synthetic form of vitamin D used to manage calcium metabolism and treat conditions like renal osteodystrophy.
Alfuzosin,An alpha-1 adrenergic antagonist used primarily to treat benign prostatic hyperplasia (BPH).
Alginic Acid,A naturally occurring polysaccharide used as a thickening agent and in the treatment of gastroesophageal reflux disease.
Aliskiren,Aliskiren is a direct renin inhibitor used primarily for the treatment of hypertension.
Allantoin,Allantoin is a compound that promotes wound healing and is commonly used in skin care products for its soothing properties.
Allium Cepa,"Allium Cepa, commonly known as onion, is used in homeopathy and herbal medicine for its potential health benefits."
Allopurinol,Allopurinol is a xanthine oxidase inhibitor used to reduce uric acid levels in conditions such as gout and hyperuricemia.
Allylestrenol,Allylestrenol is a synthetic progestin used in certain gynecological conditions and to support pregnancy.
Almagate,Almagate is an antacid used to relieve symptoms of heartburn and indigestion by neutralizing stomach acid.
Almotriptan,Almotriptan is a medication used to treat acute migraine attacks by acting as a selective agonist for serotonin receptors.
Aloe Vera,"Aloe Vera is a succulent plant known for its soothing properties, often used in topical applications for skin care and healing."
Alogliptin,Alogliptin is an oral antihyperglycemic agent used to improve glycemic control in adults with type 2 diabetes.
Alpelisib,"Alpelisib is a targeted therapy used in the treatment of certain types of breast cancer, specifically those with PIK3CA mutations."
Alpha Ketoanalogue,Alpha Ketoanalogue refers to a class of compounds that are structurally similar to amino acids and can serve as substitutes in metabolic processes.
Alpha Lipoic Acid,Alpha Lipoic Acid is an antioxidant that is involved in energy metabolism and is known for its potential benefits in reducing oxidative stress.
Alpha glycerylphosphorylcholine,Alpha glycerylphosphorylcholine is a choline compound that may support cognitive function and is involved in the synthesis of phospholipids.
Alpha Beta Arteether,"Alpha Beta Arteether is an antimalarial medication derived from artemisinin, used in the treatment of malaria."
Alpha amylase,"Alpha amylase is an enzyme that catalyzes the hydrolysis of starch into sugars, playing a key role in carbohydrate digestion."
Alpha galactosidase,An enzyme used to treat Fabry disease by helping to break down certain fatty substances in the body.
Alprazolam,A benzodiazepine medication primarily used to manage anxiety disorders and panic disorders.
Alprostadil,"A medication that acts as a vasodilator, used to treat erectile dysfunction and to maintain patent ductus arteriosus in neonates."
Alteplase,A thrombolytic agent used to dissolve blood clots in conditions such as acute myocardial infarction and ischemic stroke.
Altretamine,"An antineoplastic agent used in the treatment of certain types of cancer, particularly ovarian cancer."
Aluminium Hydroxide,"A compound used as an antacid to relieve symptoms of heartburn, indigestion, and upset stomach."
Amantadine,An antiviral medication primarily used to treat and prevent influenza A and to manage symptoms of Parkinson's disease.
Ambrisentan,A selective endothelin receptor antagonist used in the treatment of pulmonary arterial hypertension.
Ambroxol,"A mucolytic agent that helps to break down mucus in the airways, facilitating easier breathing."
Amifostine,A cytoprotective agent used to reduce the risk of kidney damage during chemotherapy and to alleviate xerostomia in head and neck cancer patients.
Amikacin,Amikacin is an aminoglycoside antibiotic used to treat serious infections caused by gram-negative bacteria.
Amiloride,Amiloride is a potassium-sparing diuretic that helps to prevent the loss of potassium while promoting the excretion of sodium and water.
Amineptine,"Amineptine is an antidepressant that acts as a selective dopamine reuptake inhibitor, primarily used in the treatment of major depressive disorder."
Aminexil,Aminexil is a topical treatment used to prevent hair loss and promote hair growth by inhibiting the hardening of collagen around hair follicles.
Amino Acids,Amino acids are organic compounds that serve as the building blocks of proteins and play critical roles in various metabolic processes.
Aminobenzoic Acid,Aminobenzoic Acid is an organic compound used primarily as a sunscreen agent and in the treatment of certain skin conditions.
Aminophylline,Aminophylline is a bronchodilator used to treat asthma and other conditions involving bronchospasm.
Amiodarone,Amiodarone is an antiarrhythmic medication used to treat and prevent various types of serious irregular heartbeats.
Amisulpride,Amisulpride is an antipsychotic medication primarily used to treat schizophrenia and depressive disorders.
Amitriptyline,"Amitriptyline is a tricyclic antidepressant used to treat depression, anxiety disorders, and certain types of pain."
Amlexanox,Amlexanox is a topical anti-inflammatory and anti-allergic agent used primarily for the treatment of canker sores.
Amlodipine,Amlodipine is a calcium channel blocker used to treat high blood pressure and angina.
Ammonium Chloride,Ammonium Chloride is an inorganic compound used as an expectorant in cough medications and as a nitrogen source in fertilizers.
Ammonium Lactate,Ammonium Lactate is a topical moisturizer and keratolytic agent used to treat dry skin conditions.
Amodiaquine,"Amodiaquine is an antimalarial medication used to treat malaria, particularly in combination with other antimalarial drugs."
Amorolfine,Amorolfine is an antifungal agent used topically to treat nail infections caused by dermatophytes and yeasts.
Amoxapine,"Amoxapine is an antidepressant medication that belongs to the class of tricyclic antidepressants, used primarily for the treatment of major depressive disorder."
Amoxycillin,Amoxycillin is a broad-spectrum penicillin antibiotic used to treat various bacterial infections.
Amphotericin B,"Amphotericin B is an antifungal medication used to treat serious fungal infections, particularly in immunocompromised patients."
Ampicillin,"Ampicillin is a penicillin-type antibiotic used to treat a variety of bacterial infections, including respiratory and urinary tract infections."
Amrinone,Amrinone is a phosphodiesterase inhibitor used primarily in the treatment of heart failure.
Amtolmetin Guacil,Amtolmetin Guacil is a non-steroidal anti-inflammatory drug (NSAID) used for pain relief and inflammation.
Amylmetacresol,Amylmetacresol is an antiseptic agent commonly used in throat lozenges for its soothing properties.
Anastrozole,Anastrozole is an aromatase inhibitor used in the treatment of hormone receptor-positive breast cancer in postmenopausal women.
Anidulafungin,Anidulafungin is an echinocandin antifungal agent used to treat invasive fungal infections.
Antacids With Anti Spasmodics,A combination of antacids and antispasmodic agents used to relieve gastrointestinal discomfort and spasms.
Anti Rh D Immunoglobulin,A blood product used to prevent Rh immunization in Rh-negative individuals exposed to Rh-positive blood.
Antithymocyte immunoglobulins,"Immunosuppressive agents derived from animal serum, used to treat conditions like acute rejection in organ transplantation."
Apixaban,"An oral anticoagulant that inhibits factor Xa, used to reduce the risk of stroke and blood clots."
Apomorphine,A dopamine agonist used primarily in the treatment of Parkinson's disease and for the management of erectile dysfunction.
Apraclonidine,Apraclonidine is an alpha-2 adrenergic agonist used primarily in the treatment of glaucoma to reduce intraocular pressure.
Apremilast,Apremilast is an oral phosphodiesterase 4 (PDE4) inhibitor indicated for the treatment of psoriatic arthritis and plaque psoriasis.
Aprepitant,Aprepitant is a substance P/neurokinin 1 (NK1) receptor antagonist used to prevent nausea and vomiting associated with chemotherapy.
Aprotinin,Aprotinin is a serine protease inhibitor used to reduce bleeding during surgery by inhibiting fibrinolysis.
Ardeparin,Ardeparin is a low molecular weight heparin used for the prevention and treatment of venous thromboembolism.
Arformoterol,Arformoterol is a long-acting beta-agonist used in the management of chronic obstructive pulmonary disease (COPD) and asthma.
Arginine,Arginine is an amino acid that plays a role in protein synthesis and is involved in various metabolic processes.
Aripiprazole,"Aripiprazole is an atypical antipsychotic used to treat schizophrenia, bipolar disorder, and as an adjunct in major depressive disorder."
Armodafinil,Armodafinil is a wakefulness-promoting agent used to treat excessive sleepiness associated with narcolepsy and other sleep disorders.
Arsenic Trioxide,Arsenic trioxide is a chemotherapeutic agent used primarily in the treatment of acute promyelocytic leukemia (APL).
Arteether,"Arteether is an antimalarial medication derived from artemisinin, used for the treatment of severe malaria."
Artemether,"Artemether is an antimalarial drug that is a derivative of artemisinin, commonly used in combination therapies for malaria."
Arterolane,Arterolane is an investigational antimalarial compound that acts as a fast-acting treatment for malaria.
Artesunate,"Artesunate is a water-soluble derivative of artemisinin, used primarily for the treatment of severe malaria."
Asenapine,Asenapine is an atypical antipsychotic used in the treatment of schizophrenia and bipolar disorder.
Asparaginase,"An enzyme used in the treatment of acute lymphoblastic leukemia by breaking down asparagine, an amino acid necessary for cancer cell growth."
Aspirin,"A nonsteroidal anti-inflammatory drug (NSAID) used to reduce pain, fever, and inflammation, and also to prevent blood clots."
Astaxanthin,"A carotenoid pigment found in certain algae and seafood, known for its antioxidant properties and potential health benefits."
Astemizole,An antihistamine that was used to treat allergic conditions but is no longer widely available due to safety concerns.
Atazanavir,"An antiretroviral medication used in the treatment of HIV infection, functioning as a protease inhibitor."
Atenolol,Atenolol is a selective beta-1 adrenergic antagonist used primarily in the treatment of hypertension and angina.
Atezolizumab,Atezolizumab is a monoclonal antibody that inhibits programmed cell death ligand 1 (PD-L1) and is used in cancer immunotherapy.
Atomoxetine,Atomoxetine is a selective norepinephrine reuptake inhibitor indicated for the treatment of attention deficit hyperactivity disorder (ADHD).
Atorvastatin,Atorvastatin is a statin medication used to lower cholesterol levels and reduce the risk of cardiovascular disease.
Atosiban,Atosiban is an oxytocin receptor antagonist used to inhibit premature labor.
Atracurium,Atracurium is a neuromuscular blocking agent used to induce muscle relaxation during surgical procedures.
Atropine,Atropine is an anticholinergic drug used to treat bradycardia and to reduce salivation during surgery.
Avanafil,Avanafil is a phosphodiesterase type 5 inhibitor used for the treatment of erectile dysfunction.
Avibactam,Avibactam is a beta-lactamase inhibitor used in combination with certain antibiotics to treat bacterial infections.
Axitinib,Axitinib is a tyrosine kinase inhibitor used in the treatment of advanced renal cell carcinoma.
Azacitidine,Azacitidine is a nucleoside analog used primarily in the treatment of myelodysplastic syndromes and acute myeloid leukemia.
Azathioprine,Azathioprine is an immunosuppressive medication used to prevent organ transplant rejection and to treat autoimmune diseases.
Azelaic Acid,Azelaic Acid is a dicarboxylic acid used topically for the treatment of acne and rosacea.
Azelastine,Azelastine is an antihistamine used in nasal spray form to relieve symptoms of allergic rhinitis.
Azelnidipine,Azelnidipine is a calcium channel blocker used for the treatment of hypertension.
Azilsartan medoxomil,Azilsartan medoxomil is an angiotensin II receptor antagonist used primarily for the treatment of hypertension.
Azithromycin,"Azithromycin is a macrolide antibiotic used to treat various bacterial infections, including respiratory and skin infections."
Aztreonam,"Aztreonam is a monobactam antibiotic effective against Gram-negative bacteria, often used in patients with penicillin allergies."
Bacampicillin,Bacampicillin is a penicillin antibiotic used to treat infections caused by susceptible bacteria.
Bacillus Calmette Guerin,Bacillus Calmette Guerin (BCG) is a live attenuated vaccine used primarily for the prevention of tuberculosis and as an immunotherapy for bladder cancer.
Bacillus Calmette Guerin strain,A live attenuated strain of Mycobacterium bovis used primarily as a vaccine for tuberculosis and as an immunotherapy for bladder cancer.
Bacillus Clausii,A probiotic bacterium used to restore gut flora balance and support gastrointestinal health.
Bacitracin,"An antibiotic derived from Bacillus subtilis, primarily used topically to treat bacterial infections."
Baclofen,A muscle relaxant that acts on the central nervous system to relieve muscle spasticity.
Bacterial Lysate,A preparation containing inactivated bacteria used to stimulate the immune system and enhance resistance to infections.
Balofloxacin,Balofloxacin is a fluoroquinolone antibiotic used to treat bacterial infections.
Balsalazide,Balsalazide is an anti-inflammatory medication used in the treatment of ulcerative colitis.
Bambuterol,Bambuterol is a long-acting bronchodilator used in the management of asthma and chronic obstructive pulmonary disease (COPD).
Baricitinib,Baricitinib is a Janus kinase (JAK) inhibitor used for the treatment of moderate to severe rheumatoid arthritis.
Basiliximab,Basiliximab is a monoclonal antibody used as an immunosuppressant to prevent organ rejection in kidney transplant patients.
Becaplermin,Becaplermin is a recombinant human platelet-derived growth factor used to promote wound healing in diabetic ulcers.
Beclometasone,Beclometasone is a corticosteroid used to reduce inflammation in conditions such as asthma and allergic rhinitis.
Belladonna dry extract,Belladonna dry extract is derived from the Atropa belladonna plant and is used for its anticholinergic properties.
Bemiparin,Bemiparin is a low molecular weight heparin used for the prevention and treatment of venous thromboembolism.
Bempedoic acid,"Bempedoic acid is a lipid-lowering agent that inhibits ATP-citrate lyase, used to reduce cholesterol levels."
Benazepril,Benazepril is an angiotensin-converting enzyme (ACE) inhibitor used primarily to treat high blood pressure and heart failure.
Bendamustine,"Bendamustine is a chemotherapy medication used to treat certain types of cancer, including chronic lymphocytic leukemia and non-Hodgkin lymphoma."
Benfotiamine,Benfotiamine is a synthetic derivative of thiamine (vitamin B1) used as a dietary supplement for its potential benefits in diabetic complications.
Benidipine,Benidipine is a calcium channel blocker used to treat hypertension and angina by relaxing blood vessels.
Benserazide,"Benserazide is a medication that inhibits the enzyme aromatic L-amino acid decarboxylase, often used in combination with levodopa for Parkinson's disease treatment."
Benzathine penicillin G,"A long-acting form of penicillin used primarily for the treatment of bacterial infections, particularly rheumatic fever and syphilis."
Benzocaine,"A local anesthetic commonly used to relieve pain and itching from minor skin irritations, sore throat, and dental procedures."
Benzoic Acid,"An organic compound used as a food preservative and in various industrial applications, known for its antimicrobial properties."
Benzoin,"A resin obtained from the bark of certain trees, used in traditional medicine and as a fixative in perfumes and incense."
Benzonatate,A non-narcotic cough suppressant that works by numbing the throat and lungs to reduce the cough reflex.
Benzoxonium Chloride,Benzoxonium Chloride is a quaternary ammonium compound used as an antiseptic and disinfectant.
Benzoyl Peroxide,Benzoyl Peroxide is an organic compound commonly used in acne treatment for its antibacterial and keratolytic properties.
Benzthiazide,Benzthiazide is a thiazide diuretic used to treat hypertension and edema by promoting the excretion of sodium and water.
Benzydamine,Benzydamine is a non-steroidal anti-inflammatory drug (NSAID) used topically for pain relief and to reduce inflammation.
Benzyl Alcohol,"Benzyl Alcohol is an aromatic alcohol used as a solvent, preservative, and in the formulation of various pharmaceutical products."
Benzyl Nicotinate,A vasodilator used in topical formulations to enhance blood flow and improve skin conditions.
Bepotastine,An antihistamine used in ophthalmic solutions for the treatment of allergic conjunctivitis.
Besifloxacin,A fluoroquinolone antibiotic used in ophthalmic solutions for the treatment of bacterial conjunctivitis.
Beta Carotene,A provitamin A carotenoid that is an antioxidant and is used as a dietary supplement and food coloring.
Beta Cyclodextrin,A cyclic oligosaccharide used as a pharmaceutical excipient to enhance solubility and stability of drugs.
Betahistine,Betahistine is a histamine analog used primarily to treat vertigo associated with Ménière's disease.
Betamethasone,Betamethasone is a corticosteroid used to reduce inflammation and suppress the immune response in various conditions.
Betaxolol,Betaxolol is a selective beta-1 adrenergic antagonist used in the treatment of hypertension and glaucoma.
Bethanechol,Bethanechol is a cholinergic agent that stimulates bladder contraction and is used to treat urinary retention.
Bevacizumab,Bevacizumab is a monoclonal antibody that inhibits vascular endothelial growth factor (VEGF) and is used in cancer therapy.
Bezafibrate,Bezafibrate is a lipid-lowering agent used to treat hyperlipidemia by reducing cholesterol and triglyceride levels.
Bicalutamide,Bicalutamide is an antiandrogen medication primarily used in the treatment of prostate cancer.
Bifonazole,Bifonazole is an antifungal agent used to treat various fungal skin infections.
Bilastine,Bilastine is an antihistamine used for the treatment of allergic rhinitis and urticaria.
Bile constituents,"Bile constituents refer to the components of bile, including bile acids, bilirubin, cholesterol, and phospholipids, which aid in digestion and absorption of fats."
Bimatoprost,Bimatoprost is a prostaglandin analog used primarily to treat glaucoma and ocular hypertension by increasing the outflow of aqueous humor.
Biotin,"Biotin, also known as vitamin B7, is a water-soluble vitamin that plays a key role in the metabolism of fats, carbohydrates, and proteins."
Bisacodyl,Bisacodyl is a stimulant laxative used to treat constipation and to prepare the bowel for medical examinations.
Bisoprolol,Bisoprolol is a selective beta-1 adrenergic blocker used to manage hypertension and heart failure.
Bivalirudin,Bivalirudin is a direct thrombin inhibitor used as an anticoagulant in patients undergoing percutaneous coronary interventions.
Bleomycin,"Bleomycin is an antineoplastic antibiotic used primarily in the treatment of various cancers, including testicular cancer and Hodgkin's lymphoma."
Blonanserin,"Blonanserin is an atypical antipsychotic used in the treatment of schizophrenia, known for its dual action on dopamine and serotonin receptors."
Borax,"Borax, or sodium borate, is a mineral compound used in various applications, including as a cleaning agent and in some pharmaceutical formulations."
Boric Acid,"Boric acid is a weak acid used as an antiseptic, insecticide, and in various pharmaceutical applications, particularly in ophthalmic solutions."
Bortezomib,Bortezomib is a proteasome inhibitor used in the treatment of multiple myeloma and certain types of lymphoma.
Bosentan,Bosentan is an endothelin receptor antagonist used primarily in the treatment of pulmonary arterial hypertension.
Bosutinib,Bosutinib is a tyrosine kinase inhibitor used for the treatment of chronic myelogenous leukemia (CML) and Philadelphia chromosome-positive acute lymphoblastic leukemia (Ph+ ALL).
Boswellia Serrata,"Boswellia Serrata is a herbal extract derived from the resin of the Boswellia tree, commonly used for its anti-inflammatory properties."
Brimonidine,Brimonidine is an alpha-2 adrenergic agonist used in the treatment of glaucoma and ocular hypertension.
Brinzolamide,Brinzolamide is a carbonic anhydrase inhibitor used topically in the eye to reduce intraocular pressure in patients with glaucoma or ocular hypertension.
Brivaracetam,Brivaracetam is an antiepileptic medication used to treat partial-onset seizures in epilepsy.
Bromelain,Bromelain is a mixture of enzymes found in pineapples that is used for its anti-inflammatory and digestive properties.
Bromfenac,Bromfenac is a nonsteroidal anti-inflammatory drug (NSAID) used in ophthalmic solutions to treat inflammation and pain after cataract surgery.
Bromhexine,"Bromhexine is a mucolytic agent that helps to break down mucus in the respiratory tract, facilitating easier breathing."
Bromocriptine,Bromocriptine is a dopamine agonist used to treat conditions such as Parkinson's disease and hyperprolactinemia.
Buclizine,Buclizine is an antihistamine used primarily to treat motion sickness and nausea.
Budesonide,Budesonide is a corticosteroid used to reduce inflammation in conditions such as asthma and inflammatory bowel disease.
Buphenine,Buphenine is a bronchodilator used to relieve bronchospasm in conditions like asthma and chronic obstructive pulmonary disease.
Bupivacaine,Bupivacaine is a local anesthetic commonly used for regional anesthesia and pain management.
Buprenorphine,Buprenorphine is a partial opioid agonist used in the treatment of opioid addiction and for pain management.
Bupropion,Bupropion is an atypical antidepressant used primarily to treat major depressive disorder and to support smoking cessation.
Buserelin,Buserelin is a synthetic gonadotropin-releasing hormone analog used in the treatment of hormone-sensitive cancers and certain reproductive disorders.
Buspirone,Buspirone is an anxiolytic medication primarily used to treat generalized anxiety disorder and is known for its non-sedative properties.
Busulfan,"Busulfan is an alkylating agent used in chemotherapy, particularly for treating chronic myelogenous leukemia and as part of conditioning regimens prior to stem cell transplantation."
Butenafine,Butenafine is an antifungal agent used topically to treat skin infections such as athlete's foot and ringworm.
Butorphanol,Butorphanol is an opioid analgesic used for the management of moderate to severe pain.
Butyl Alcohol,"Butyl Alcohol, also known as butanol, is an organic compound used as a solvent and in the manufacture of various chemicals."
Cabazitaxel,Cabazitaxel is a chemotherapy medication used to treat metastatic castration-resistant prostate cancer.
Cabergoline,Cabergoline is a dopamine agonist used primarily to treat hyperprolactinemia and Parkinson's disease.
Cabozantinib,"Cabozantinib is a tyrosine kinase inhibitor used in the treatment of various cancers, including renal cell carcinoma."
Cadexomer Iodine,"A topical antiseptic used for the treatment of infected wounds and ulcers, containing iodine in a gel form."
Caffeine,"A central nervous system stimulant commonly found in coffee and tea, used to increase alertness and reduce fatigue."
Calamine,"A topical agent used to relieve itching and irritation from minor skin conditions, often found in lotions and creams."
Calcipotriol,"A synthetic derivative of vitamin D used in the treatment of psoriasis, promoting skin cell regulation."
Calcitonin,"A hormone involved in calcium regulation, used therapeutically to treat conditions like osteoporosis and Paget's disease."
Calcitriol,"Calcitriol is the active form of vitamin D3, used to regulate calcium and phosphate in the body."
Calcium,"Calcium is a mineral essential for various bodily functions, including bone health and muscle contraction."
Calcium Acetate,Calcium Acetate is a calcium salt used primarily as a phosphate binder in patients with chronic kidney disease.
Calcium Carbonate,Calcium Carbonate is a common dietary supplement used to prevent and treat calcium deficiencies.
Calcium Chloride,"Calcium Chloride is an inorganic compound used in various applications, including as a calcium supplement and in food preservation."
Calcium Citrate Malate,"A calcium salt of citric acid and malic acid, often used as a dietary supplement to support bone health."
Calcium Dobesilate,"A calcium salt of dobesilate, primarily used for its vasoprotective properties in the treatment of chronic venous insufficiency."
Calcium Gluconate,"A calcium salt of gluconic acid, commonly used to treat calcium deficiencies and as an antidote for magnesium sulfate toxicity."
Calcium Lactate,"A calcium salt of lactic acid, utilized as a dietary supplement and in food fortification to provide calcium."
Calcium Lactobionate,"A calcium salt of lactobionic acid, used in pharmaceutical formulations and as a calcium supplement."
Calcium Leucovorin,"A form of leucovorin that contains calcium, used as a medication to reduce the toxic effects of certain chemotherapy drugs."
Calcium Pantothenate,"The calcium salt of pantothenic acid (vitamin B5), important for energy metabolism and the synthesis of coenzyme A."
Calcium Phosphate,"A mineral compound consisting of calcium and phosphate, commonly used as a dietary supplement and in various pharmaceutical formulations."
Calcium Polystyrene Sulphonate,A medication used to treat hyperkalemia by exchanging calcium ions for potassium ions in the gastrointestinal tract.
Calcium ascorbate,"A mineral ascorbate form of vitamin C that provides both calcium and vitamin C, often used as a dietary supplement."
Calcium citrate,A calcium salt of citric acid used as a dietary supplement to prevent or treat calcium deficiency.
Camostat,A synthetic serine protease inhibitor primarily investigated for its potential use in treating pancreatitis and COVID-19.
Camphor,"A white, crystalline substance with a strong odor, used in topical analgesics and as a cough suppressant."
Camylofin,"An antispasmodic agent used to relieve smooth muscle spasms, particularly in the urinary tract."
Canagliflozin,An SGLT2 inhibitor used in the management of type 2 diabetes to improve glycemic control.
Candesartan,Candesartan is an angiotensin II receptor antagonist used primarily for the treatment of hypertension and heart failure.
Capecitabine,"Capecitabine is an oral chemotherapy medication used to treat various types of cancer, including breast and colorectal cancer."
Capmatinib,Capmatinib is a targeted therapy used for the treatment of non-small cell lung cancer with MET exon 14 alterations.
Capreomycin,Capreomycin is an antibiotic used in the treatment of multidrug-resistant tuberculosis.
Capsaicin Based Rubefacients,"Capsaicin based rubefacients are topical agents that contain capsaicin, used to relieve pain by causing a warming sensation."
Captopril,Captopril is an angiotensin-converting enzyme (ACE) inhibitor used primarily for the treatment of hypertension and heart failure.
Carbachol,Carbachol is a cholinergic agonist used in ophthalmology to induce miosis during surgery and to treat glaucoma.
Carbamazepine,Carbamazepine is an anticonvulsant medication used to treat epilepsy and neuropathic pain.
Carbazochrome,Carbazochrome is a hemostatic agent used to control bleeding by stabilizing capillary walls.
Carbenicillin,Carbenicillin is a penicillin antibiotic used to treat infections caused by certain Gram-negative bacteria.
Carbetocin,Carbetocin is a synthetic analog of oxytocin used primarily to prevent uterine atony after childbirth.
Carbidopa,"Carbidopa is a medication that inhibits the conversion of levodopa to dopamine outside the brain, enhancing the effectiveness of levodopa in treating Parkinson's disease."
Carbimazole,Carbimazole is an antithyroid medication used to treat hyperthyroidism by inhibiting the synthesis of thyroid hormones.
Carbocisteine,Carbocisteine is a mucolytic agent that helps to reduce the viscosity of mucus in respiratory conditions.
Carboplatin,"Carboplatin is a chemotherapy drug used to treat various cancers, including ovarian and testicular cancers, by interfering with DNA replication."
Carboprost,"Carboprost is a synthetic prostaglandin used to induce labor, control postpartum hemorrhage, and for medical abortion."
Carboxymethylcellulose,"Carboxymethylcellulose is a cellulose derivative used as a thickening agent, emulsifier, and stabilizer in various pharmaceutical and food products."
Cardioplegia,"Cardioplegia refers to a technique used to induce temporary cardiac arrest during heart surgery, typically achieved through a solution that protects the heart muscle."
Carfilzomib,"Carfilzomib is a proteasome inhibitor used in the treatment of multiple myeloma, particularly in patients who have received prior therapies."
Cariprazine,Cariprazine is an atypical antipsychotic used for the treatment of schizophrenia and bipolar disorder.
Carisoprodol,Carisoprodol is a muscle relaxant used to relieve pain and discomfort caused by muscle injuries.
Carmustine,"Carmustine is a chemotherapy medication used to treat certain types of cancer, including brain tumors and multiple myeloma."
Caroverine,Caroverine is a muscle relaxant that is primarily used to treat gastrointestinal disorders.
Carvedilol,Carvedilol is a non-selective beta-blocker used to treat high blood pressure and heart failure.
Casirivimab,Casirivimab is a monoclonal antibody used for the treatment of COVID-19 in certain patients.
Caspofungin,"Caspofungin is an antifungal medication used to treat invasive fungal infections, particularly those caused by Candida and Aspergillus species."
Cefaclor,"Cefaclor is a second-generation cephalosporin antibiotic used to treat various bacterial infections, including respiratory tract infections and skin infections."
Cefadroxil,"Cefadroxil is a first-generation cephalosporin antibiotic indicated for the treatment of skin and soft tissue infections, as well as urinary tract infections."
Cefalexin,"Cefalexin is a first-generation cephalosporin antibiotic used to treat bacterial infections such as respiratory tract infections, skin infections, and bone infections."
Cefazolin,Cefazolin is a first-generation cephalosporin antibiotic commonly used for the prophylaxis and treatment of infections caused by susceptible Gram-positive bacteria.
